@relation bridges-version1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Discretize-F-B10-M-1.0-Rfirst-last-precision6

@attribute IDENTIF {E1,E10,E100,E101,E102,E103,E105,E107,E107N,E108,E109,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E3,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E5,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E6,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E7,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E8,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E9,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99}
@attribute RIVER {A,M,O,Y}
@attribute LOCATION {1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,38.5,39,39.5,39.7,4,40,41,42,43,44,45,46,47,48,49,5,51,52,6,7,8,9}
@attribute ERECTED {'\'(-inf-1854.5]\'','\'(1854.5-1877]\'','\'(1877-1889.5]\'','\'(1889.5-1896.5]\'','\'(1896.5-1903.5]\'','\'(1903.5-1916.5]\'','\'(1916.5-1927.5]\'','\'(1927.5-1942]\'','\'(1942-1953]\'','\'(1953-inf)\''}
@attribute PURPOSE {WALK,AQUEDUCT,RR,HIGHWAY}
@attribute LENGTH {'\'(-inf-985]\'','\'(985-1015]\'','\'(1015-1180.5]\'','\'(1180.5-1357.5]\'','\'(1357.5-1537.734568]\'','\'(1537.734568-1593.734568]\'','\'(1593.734568-1825]\'','\'(1825-2216.5]\'','\'(2216.5-2543]\'','\'(2543-inf)\''}
@attribute LANES {'\'(-inf-1.5]\'','\'(1.5-2.315217]\'','\'(2.315217-3.315217]\'','\'(3.315217-5]\'','\'(5-inf)\''}
@attribute CLEAR-G {N,G}
@attribute T-OR-D {THROUGH,DECK}
@attribute MATERIAL {WOOD,IRON,STEEL}
@attribute SPAN {SHORT,MEDIUM,LONG}
@attribute REL-L {S,S-F,F}
@attribute TYPE {WOOD,SUSPEN,SIMPLE-T,ARCH,CANTILEV,CONT-T}

@data
E1,M,3,'\'(-inf-1854.5]\'',HIGHWAY,'\'(1537.734568-1593.734568]\'','\'(1.5-2.315217]\'',N,THROUGH,WOOD,SHORT,S,WOOD
E2,A,25,'\'(-inf-1854.5]\'',HIGHWAY,'\'(1015-1180.5]\'','\'(1.5-2.315217]\'',N,THROUGH,WOOD,SHORT,S,WOOD
E3,A,39,'\'(-inf-1854.5]\'',AQUEDUCT,'\'(1537.734568-1593.734568]\'','\'(-inf-1.5]\'',N,THROUGH,WOOD,MEDIUM,S,WOOD
E5,A,29,'\'(-inf-1854.5]\'',HIGHWAY,'\'(985-1015]\'','\'(1.5-2.315217]\'',N,THROUGH,WOOD,SHORT,S,WOOD
E6,M,23,'\'(-inf-1854.5]\'',HIGHWAY,'\'(1537.734568-1593.734568]\'','\'(1.5-2.315217]\'',N,THROUGH,WOOD,MEDIUM,S,WOOD
E7,A,27,'\'(-inf-1854.5]\'',HIGHWAY,'\'(985-1015]\'','\'(1.5-2.315217]\'',N,THROUGH,WOOD,MEDIUM,S,WOOD
E8,A,28,'\'(-inf-1854.5]\'',AQUEDUCT,'\'(985-1015]\'','\'(-inf-1.5]\'',N,THROUGH,IRON,SHORT,S,SUSPEN
E9,M,3,'\'(-inf-1854.5]\'',HIGHWAY,'\'(1357.5-1537.734568]\'','\'(1.5-2.315217]\'',N,THROUGH,IRON,SHORT,S,SUSPEN
E10,A,39,'\'(-inf-1854.5]\'',AQUEDUCT,'\'(1537.734568-1593.734568]\'','\'(-inf-1.5]\'',N,DECK,WOOD,MEDIUM,S,WOOD
E11,A,29,'\'(-inf-1854.5]\'',HIGHWAY,'\'(985-1015]\'','\'(1.5-2.315217]\'',N,THROUGH,WOOD,MEDIUM,S,WOOD
E12,A,39,'\'(-inf-1854.5]\'',RR,'\'(1537.734568-1593.734568]\'','\'(1.5-2.315217]\'',N,DECK,WOOD,MEDIUM,S,WOOD
E14,M,6,'\'(1854.5-1877]\'',HIGHWAY,'\'(1180.5-1357.5]\'','\'(1.5-2.315217]\'',N,THROUGH,WOOD,MEDIUM,S,WOOD
E13,A,33,'\'(1854.5-1877]\'',HIGHWAY,'\'(1537.734568-1593.734568]\'','\'(1.5-2.315217]\'',N,THROUGH,WOOD,MEDIUM,S,WOOD
